rank,name,csv_h_index,openalex_h_index,h_index_status,csv_dept,rush_directory_dept,dept_status,directory_match_type,directory_match_score,rush_directory_name,rush_directory_title,rush_directory_college,evidence_url,openalex_id
88,John M. Zajecka,47,47,match,Psychiatry & Behavioral Sciences,Psychiatry & Behavioral Sciences,match,exact_name,1.000,"John M. Zajecka, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/john-m-zajecka-md,https://openalex.org/A5081858471
89,Xian-Ming Chen,46,46,match,Microbial Pathogens & Immunity,Microbial Pathogens & Immunity,match,exact_name,1.000,"Xian-Ming Chen, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/xian-ming-chen-md,https://openalex.org/A5101969488
90,Steven Flamm,46,46,match,Internal Medicine,,not_found,not_found,0.667,,,,,https://openalex.org/A5073412832
91,Brian Forsythe,46,46,match,Orthopedic Surgery,Orthopedic Surgery,match,exact_name,1.000,"Brian Forsythe, MD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/brian-forsythe-md,https://openalex.org/A5084967312
92,Jia-liang Li,46,46,match,Neurological Sciences,Neurological Sciences,match,exact_name,1.000,"Jia-liang Li, MD, PhD",Instructor,Rush Medical College,https://www.rushu.rush.edu/faculty/jia-liang-li-md-phd,https://openalex.org/A5100358351
93,James Rowley,45,45,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"James Rowley, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/james-rowley-md,https://openalex.org/A5058746647
94,William Trick,45,45,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"William Trick, MD",Professor of Medicine,Rush Medical College,https://www.rushu.rush.edu/faculty/william-trick-md,https://openalex.org/A5031716474
95,Jie Li,44,44,match,College of Health Sciences,,not_found,not_found,0.667,,,,,https://openalex.org/A5025401873
96,Kathleen M. Weber,44,44,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Kathleen M. Weber, MD",Assistant Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/kathleen-m-weber-md,https://openalex.org/A5068211949
97,Dirk Gillespie,43,43,match,Physiology & Biophysics,Physiology & Biophysics,match,exact_name,1.000,"Dirk Gillespie, PhD",The John H. and Margaret V. Krehbiel Professor of Cardiology,Rush Medical College,https://www.rushu.rush.edu/faculty/dirk-gillespie-phd,https://openalex.org/A5080523470
98,Richard G. Trohman,43,43,match,Internal Medicine,Internal Medicine,match,exact_name,1.000,"Richard G. Trohman, MD",Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/richard-g-trohman-md,https://openalex.org/A5040729592
99,Michael Fill,42,42,match,Physiology & Biophysics,Physiology & Biophysics,match,exact_name,1.000,"Michael Fill, PhD",The Francis N. and Catherine O. Bard Professor of Physiology,Rush Medical College,https://www.rushu.rush.edu/faculty/michael-fill-phd,https://openalex.org/A5049514956
100,David X. Marquez,42,42,match,College of Nursing,College of Nursing,match,exact_name,1.000,"David X. Marquez, PhD",Visiting Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/david-x-marquez-phd,https://openalex.org/A5025604770
101,Kerstin Stenson,42,42,match,Otorhinolaryngology - Head & Neck Surgery,Otorhinolaryngology - Head & Neck Surgery,match,exact_name,1.000,"Kerstin Stenson, MD, FACS",The Carole B. and Gordon I. Segal Professor of Women’s Cancer Issues,Rush Medical College,https://www.rushu.rush.edu/faculty/kerstin-stenson-md-facs,https://openalex.org/A5073342619
102,Jingyun Yang,42,42,match,Neurological Sciences,Neurological Sciences,match,exact_name,1.000,"Jingyun Yang, PhD",Associate Professor,Rush Medical College,https://www.rushu.rush.edu/faculty/jingyun-yang-phd,https://openalex.org/A5067594179
103,Lena Al-Harthi,42,42,match,Microbial Pathogens & Immunity,Microbial Pathogens & Immunity,match,exact_name,1.000,"Lena Al-Harthi, PhD","The Thomas J. Coogan Sr., MD, Chair of Immunology",Rush Medical College,https://www.rushu.rush.edu/faculty/lena-al-harthi-phd,https://openalex.org/A5027852097
