appl_id,subproject_id,faculty_name,rush_dept,pi_full_name,pi_match_type,is_contact_pi,fiscal_year,project_num,core_project_num,activity_code,agency,award_amount,is_active,project_title,organization,project_start_date,project_end_date
11224244,,Robin Pourzal,Orthopedic Surgery,Robin A. Pourzal,exact_first_last,false,2025,1R01AR084468-01A1,R01AR084468,R01,NIAMS,596189,true,Preclinical Assessment Tools for Preventing Fretting-Corrosion within Modular Junctions of Total Joint Replacement,RUSH UNIVERSITY MEDICAL CENTER,2025-09-05T00:00:00,2030-07-31T00:00:00
11170638,,Kyle J. Popovich,Internal Medicine,Kyle Jeanne Popovich,exact_first_last,true,2025,5R21AI185529-02,R21AI185529,R21,NIAID,204572,true,Whole Genome Sequencing of N. gonorrhoeae from Non-Culture Based Clinical Specimens to Surveil for Emerging Resistance,RUSH UNIVERSITY MEDICAL CENTER,2024-08-15T00:00:00,2026-07-31T00:00:00
11167000,,,,Martin K Lotz,unmatched,false,2025,4UC2AR082186-02,UC2AR082186,UC2,NIAMS,3853422,true,Mapping the joint-nerve interactome of the knee,RUSH UNIVERSITY MEDICAL CENTER,2022-09-23T00:00:00,2027-08-31T00:00:00
11167000,,,,RICHARD J MILLER,unmatched,false,2025,4UC2AR082186-02,UC2AR082186,UC2,NIAMS,3853422,true,Mapping the joint-nerve interactome of the knee,RUSH UNIVERSITY MEDICAL CENTER,2022-09-23T00:00:00,2027-08-31T00:00:00
11167000,,,,Anne-Marie  Malfait,unmatched,true,2025,4UC2AR082186-02,UC2AR082186,UC2,NIAMS,3853422,true,Mapping the joint-nerve interactome of the knee,RUSH UNIVERSITY MEDICAL CENTER,2022-09-23T00:00:00,2027-08-31T00:00:00
11194387,,Ali Keshavarzian,Internal Medicine,ALI  KESHAVARZIAN,exact_first_last,true,2025,5R24AA026801-07,R24AA026801,R24,NIAAA,557764,true,Center for Circadian Rhythms and Alcohol-Induced Tissue Damage,RUSH UNIVERSITY MEDICAL CENTER,2024-09-17T00:00:00,2029-06-30T00:00:00
11384674,,Francine Grodstein,Internal Medicine,FRANCINE  GRODSTEIN,exact_first_last,true,2025,3U01AG084547-02S1,U01AG084547,U01,NIA,78972,true,Mexican Teachers Cohort Study: Genetics and Cognitive Function,RUSH UNIVERSITY MEDICAL CENTER,2024-09-30T00:00:00,2029-08-31T00:00:00
11384674,,,,Martin  Lajous,unmatched,false,2025,3U01AG084547-02S1,U01AG084547,U01,NIA,78972,true,Mexican Teachers Cohort Study: Genetics and Cognitive Function,RUSH UNIVERSITY MEDICAL CENTER,2024-09-30T00:00:00,2029-08-31T00:00:00
11222533,,Melissa M. Crane,Family & Preventive Medicine,Melissa Marie Crane,exact_first_last,true,2025,1R01DK141570-01A1,R01DK141570,R01,NIDDK,942000,true,Primary-care strategies to enhance weight management after discontinuation of anti-obesity medications,RUSH UNIVERSITY MEDICAL CENTER,2025-09-16T00:00:00,2028-08-31T00:00:00
11139454,,Julie A. Schneider,Pathology,Julie A. Schneider,exact_first_last,true,2025,5P30AG072975-05,P30AG072975,P30,NIA,3103082,true,Rush Alzheimer's Disease Research Center,RUSH UNIVERSITY MEDICAL CENTER,2021-09-01T00:00:00,2026-06-30T00:00:00
11139461,7929,Julie A. Schneider,Pathology,Julie A. Schneider,exact_first_last,true,2025,5P30AG072975-05,P30AG072975,P30,NIA,384650,true,Core D: Neuropathology Core,RUSH UNIVERSITY MEDICAL CENTER,2021-09-01T00:00:00,2026-06-30T00:00:00
11403628,,,,Lyle  McKinnon,unmatched,false,2025,3R01AI177005-03S2,R01AI177005,R01,NIAID,159746,true,The Clinical History of Rectal and Urethral STIs among MSM: characterizing microbiome host immune interactions for diagnostic and vaccine advances,RUSH UNIVERSITY MEDICAL CENTER,2025-08-01T00:00:00,2028-07-31T00:00:00
11403628,,Supriya D. Mehta,Internal Medicine,Supriya Dinesh Mehta,exact_first_last,true,2025,3R01AI177005-03S2,R01AI177005,R01,NIAID,159746,true,The Clinical History of Rectal and Urethral STIs among MSM: characterizing microbiome host immune interactions for diagnostic and vaccine advances,RUSH UNIVERSITY MEDICAL CENTER,2025-08-01T00:00:00,2028-07-31T00:00:00
